url_publication,author,text,total_photos,date,heure,type
https://www.facebook.com/reel/27787352390917973,,,0,,,posts_facebook
https://www.facebook.com/slimmarion.officiel/posts/pfbid0vuQofAVi8T2AR6EjG41YjiHrjhDB2pR4GVRFhMAWtsAPqgut3VaBrxzQVemQkgeTl,Slim Marion,"Très belle journée en compagnie 
de mon frère Tayc  un mec formidable 
Bonne semaine , « Nleme » dernier single dispo 
—
Lien en commentaire 
#Tayc #Cameroun #lebondragueur #musique #paris",1,2026-06-23, 20:00,posts_facebook
https://www.facebook.com/reel/1755971592032585,,,0,,,posts_facebook
https://www.facebook.com/permalink.php?story_fbid=pfbid0ANvJUgH6yKytE48vaPi848ckAazjeCsg4wkFyuCNqYgCx4HAaNCMwkzyJPf4bERWl&id=61577732250596,Mr News kmer2.0,"Quand les français voient #tayc comme ça, ils disent quoi ? 
 
Bref la fille 
 qui a pleurer 
 pour #tayc parce qu'elle lui a vue là ! J'espère qu'elle va aussi pleurer 
 quand elle va me recontrer hien",1,2026-02-24, 18:31,posts_facebook
https://www.facebook.com/TRACEAFRIQUEofficiel/posts/pfbid02hBVCJu64jtgr4diysKe7jn7pQjp2uv4jLwXfR5s2hWd4jEGXkDZZz3oP7t9EfbLdl,TRACE Afrique,"Tout sur la visite de @tayc au Cameroun !
Actuellement en plein tournage de son nouveau projet, l’artiste s’est aussi ressourcé à Fotouni, le village de son père, où il a fait vibrer les siens en dansant la mythique danse « LESSA » 
#WeAreAfricanCulture #TraceAfrique #Tayc #Cameroun",1,2026-02-24, 10:30,posts_facebook
https://www.facebook.com/watch/?v=1555824558838944,,,1,,,posts_facebook
https://www.facebook.com/watch/?v=26057244857294832,,,0,,,posts_facebook
https://www.facebook.com/watch/?v=1241814240689491,TRACE Afrique,Pourquoi la fille pleure même vraiment les gens là c'est pas la peine quoi,1,2026-02-26, 14:33,posts_facebook
https://www.facebook.com/MusicPlaylistSpotify/posts/pfbid022vmsFVtjywGrLA9gndDFchuBhhTd4nqKQk5yy1M4Ab5HhbGQeot3XXrWvNLmTF9dl,AZIK,DJ Arafat reste l’artiste ivoirien le plus joué en discothèque 7 ans après sa mort,1,2025-12-09, 13:45,posts_facebook
https://www.facebook.com/reel/1598704811644793,Tayc,,1,,,posts_facebook
